6.959999999999999076e+00,4.343999999999999062e+01,-3.719999999999999574e+01,2.399999999999999911e-01,4.703999999999999915e+01,-4.079999999999999716e+01,-6.719999999999999751e+00,4.343999999999999062e+01,-3.719999999999999574e+01,5.279999999999999361e+00,6.384000000000000341e+01,-4.943999999999999773e+01,-2.399999999999999911e-01,4.320000000000000284e+01,-3.816000000000000369e+01,-7.679999999999999716e+00,4.295999999999999375e+01,-3.624000000000000199e+01
6.719999999999999751e+00,4.343999999999999062e+01,-3.743999999999999773e+01,2.399999999999999911e-01,5.016000000000000369e+01,-4.199999999999999289e+01,-6.479999999999999538e+00,4.343999999999999062e+01,-3.743999999999999773e+01,3.599999999999999645e+00,6.384000000000000341e+01,-5.135999999999999943e+01,-2.399999999999999911e-01,4.295999999999999375e+01,-3.671999999999999886e+01,-8.399999999999998579e+00,4.271999999999999176e+01,-3.528000000000000114e+01
6.479999999999999538e+00,4.343999999999999062e+01,-3.791999999999999460e+01,2.399999999999999911e-01,5.303999999999999204e+01,-4.223999999999999488e+01,-6.240000000000000213e+00,4.343999999999999062e+01,-3.791999999999999460e+01,1.919999999999999929e+00,6.287999999999999545e+01,-5.255999999999999517e+01,-2.399999999999999911e-01,4.271999999999999176e+01,-3.551999999999999602e+01,-9.119999999999999218e+00,4.247999999999999687e+01,-3.407999999999999829e+01
6.000000000000000000e+00,4.367999999999999972e+01,-3.863999999999999346e+01,2.399999999999999911e-01,5.519999999999999574e+01,-4.199999999999999289e+01,-5.759999999999998899e+00,4.367999999999999972e+01,-3.863999999999999346e+01,2.399999999999999911e-01,6.119999999999999574e+01,-5.327999999999999403e+01,-2.399999999999999911e-01,4.247999999999999687e+01,-3.431999999999999318e+01,-9.599999999999999645e+00,4.223999999999999488e+01,-3.311999999999999034e+01
5.279999999999999361e+00,4.367999999999999972e+01,-3.935999999999999233e+01,2.399999999999999911e-01,5.663999999999999346e+01,-4.079999999999999716e+01,-5.040000000000000036e+00,4.367999999999999972e+01,-3.935999999999999233e+01,-1.439999999999999725e+00,5.855999999999999517e+01,-5.327999999999999403e+01,-2.399999999999999911e-01,4.223999999999999488e+01,-3.335999999999999943e+01,-1.008000000000000007e+01,4.199999999999999289e+01,-3.239999999999999147e+01
4.559999999999999609e+00,4.392000000000000171e+01,-4.007999999999999829e+01,2.399999999999999911e-01,5.735999999999999943e+01,-3.911999999999999744e+01,-4.320000000000000284e+00,4.392000000000000171e+01,-4.007999999999999829e+01,-2.639999999999999680e+00,5.519999999999999574e+01,-5.255999999999999517e+01,-2.399999999999999911e-01,4.199999999999999289e+01,-3.264000000000000057e+01,-1.055999999999999872e+01,4.175999999999999801e+01,-3.167999999999999616e+01
3.839999999999999858e+00,4.392000000000000171e+01,-4.103999999999999915e+01,2.399999999999999911e-01,5.711999999999999034e+01,-3.671999999999999886e+01,-3.599999999999999645e+00,4.392000000000000171e+01,-4.103999999999999915e+01,-3.599999999999999645e+00,5.135999999999999943e+01,-5.135999999999999943e+01,-2.399999999999999911e-01,4.199999999999999289e+01,-3.192000000000000171e+01,-1.080000000000000071e+01,4.175999999999999801e+01,-3.119999999999999929e+01
2.879999999999999449e+00,4.392000000000000171e+01,-4.199999999999999289e+01,2.399999999999999911e-01,5.615999999999998948e+01,-3.383999999999999631e+01,-2.639999999999999680e+00,4.392000000000000171e+01,-4.199999999999999289e+01,-4.320000000000000284e+00,4.751999999999999602e+01,-4.967999999999999261e+01,-2.399999999999999911e-01,4.175999999999999801e+01,-3.167999999999999616e+01,-1.103999999999999915e+01,4.151999999999999602e+01,-3.095999999999999730e+01
1.919999999999999929e+00,4.415999999999999659e+01,-4.271999999999999176e+01,2.399999999999999911e-01,5.471999999999999176e+01,-3.048000000000000043e+01,-1.679999999999999938e+00,4.415999999999999659e+01,-4.271999999999999176e+01,-4.559999999999999609e+00,4.367999999999999972e+01,-4.775999999999999801e+01,-2.399999999999999911e-01,4.175999999999999801e+01,-3.143999999999999773e+01,-1.103999999999999915e+01,4.151999999999999602e+01,-3.071999999999999886e+01
9.599999999999999645e-01,4.415999999999999659e+01,-4.367999999999999972e+01,2.399999999999999911e-01,5.255999999999999517e+01,-2.687999999999999901e+01,-7.199999999999998623e-01,4.415999999999999659e+01,-4.367999999999999972e+01,-4.320000000000000284e+00,4.367999999999999972e+01,-4.751999999999999602e+01,-2.399999999999999911e-01,4.175999999999999801e+01,-3.143999999999999773e+01,-1.080000000000000071e+01,4.464000000000000057e+01,-3.264000000000000057e+01
